iter	PRAUC:type=Classic	Logloss
0	0.6053113772	0.6879666753
1	0.6053184322	0.6841796035
2	0.6093108176	0.6807498346
3	0.6007065844	0.6784221505
4	0.6032010993	0.6764410664
5	0.6030262948	0.6747535158
6	0.609647842	0.6734083746
7	0.6096599141	0.6723249542
8	0.6107286643	0.6711189036
9	0.6114363664	0.6704701111
10	0.6120701589	0.6697403476
11	0.6136733773	0.6691514841
12	0.6134850142	0.6686378507
13	0.6137842254	0.6683731272
14	0.6135426115	0.6679458009
15	0.613767892	0.6676564982
16	0.6139119506	0.6673258133
17	0.6140250961	0.6672023203
18	0.6145948282	0.6668695095
19	0.6146161641	0.6666132373
20	0.6148277765	0.6664108048
21	0.615048121	0.6661452036
22	0.6152344344	0.6659567672
23	0.6155572165	0.6657825844
24	0.6156431789	0.6656052704
25	0.6156547248	0.6655267167
26	0.6158734417	0.6653832348
27	0.6158667038	0.6652862239
28	0.6160127526	0.6651572869
29	0.6163451723	0.6650366789
30	0.6176897154	0.664778381
31	0.6177569603	0.6647492865
32	0.6177532132	0.6647087438
33	0.6180346817	0.6645885154
34	0.6180694857	0.6644530302
35	0.6189346334	0.6642140678
36	0.6190893995	0.6641063806
37	0.6193346727	0.6639814189
38	0.6197288206	0.6637369647
39	0.6197826591	0.6636832431
40	0.619784337	0.6636667556
41	0.6197682553	0.663618947
42	0.6201337193	0.6634857541
43	0.6203272168	0.6633550682
44	0.6212577693	0.6631088864
45	0.6214044188	0.6630314882
46	0.6214414729	0.6629905507
47	0.6215383942	0.6629246804
48	0.6215494366	0.6628524922
49	0.6217643034	0.6627733134
50	0.6219167257	0.6626982543
51	0.6220478299	0.6625907536
52	0.6222662	0.6625046275
53	0.6223484503	0.6624467043
54	0.6225563585	0.6623525014
55	0.6226134013	0.6623037649
56	0.6225750309	0.6622957964
57	0.6226568087	0.6621988035
58	0.6227220862	0.6621702537
59	0.6228228061	0.662088503
60	0.6231399108	0.661990696
61	0.6234048623	0.6618976404
62	0.6237277151	0.6617507354
63	0.6239423975	0.6616688227
64	0.6240201224	0.6616416639
65	0.6240904659	0.6616036181
66	0.624185026	0.6615401129
67	0.6242014117	0.6615209667
68	0.6243609908	0.6614473909
69	0.6245885581	0.6613584364
70	0.6247351412	0.66130753
71	0.6248109777	0.6612853984
72	0.6253041823	0.6611402063
73	0.6254405489	0.6610784082
74	0.6255140347	0.661020064
75	0.6255545457	0.6609895084
76	0.6255861322	0.6609760829
77	0.6257161676	0.6609458374
78	0.6257262932	0.6609313127
79	0.6258535496	0.6608557256
80	0.626049604	0.6607815628
81	0.6261817202	0.6607211097
82	0.6261819486	0.6607141363
83	0.6264321626	0.6606245367
84	0.6267709429	0.6605128467
85	0.6268004706	0.6605052041
86	0.6268231678	0.6604791679
87	0.6269132705	0.6604308419
88	0.626956421	0.6604090749
89	0.6270223081	0.6603559388
90	0.6270458008	0.6603222687
91	0.6273324921	0.6602446238
92	0.6274561939	0.6601736889
93	0.6275272756	0.6601284101
94	0.6276540608	0.6600979051
95	0.6277672011	0.6600316049
96	0.6281120366	0.6598663295
97	0.6282032924	0.6598087512
98	0.6282401716	0.6597811215
99	0.6282961439	0.6597446135
100	0.6284437908	0.6596940861
101	0.6285210502	0.65964134
102	0.6285478846	0.6595981657
103	0.6286178034	0.6595769141
104	0.6288175977	0.6595215042
105	0.6288774338	0.6594925521
106	0.6289133546	0.6594590939
107	0.6290255051	0.6593982163
108	0.6290979379	0.6593525608
109	0.6291969504	0.6592947141
110	0.6296092413	0.6591129121
111	0.62981805	0.6590395203
112	0.6299361934	0.6589119773
113	0.6300191901	0.658811469
114	0.6301822781	0.6587039522
115	0.6302991349	0.6586660454
116	0.6305566576	0.6585404459
117	0.6307002505	0.6584379875
118	0.6307872636	0.6583716732
119	0.6308820197	0.6583278504
120	0.6310157419	0.6582292736
121	0.6311800195	0.6581555105
122	0.6316727761	0.6579353671
123	0.6317135366	0.6578706775
124	0.6317638069	0.6578017996
125	0.6321488402	0.6577095335
126	0.632447542	0.6576405268
127	0.6327859512	0.6575109303
128	0.6329156201	0.6574576261
129	0.63292959	0.6574314914
130	0.6330068712	0.6573556329
131	0.6330998293	0.6572993368
132	0.6332480726	0.6572039152
