iter	PRAUC:type=Classic	Logloss
0	0.5975274471	0.6910851451
1	0.6020473732	0.6894588632
2	0.6018022323	0.6878247583
3	0.6012246502	0.6867296718
4	0.6037722605	0.6852699596
5	0.6058635554	0.6837442878
6	0.6050203518	0.6830195859
7	0.6050056074	0.6819714476
8	0.6041641359	0.681290822
9	0.6052776786	0.6804775118
10	0.6074166132	0.6794457216
11	0.6080852945	0.6787484208
12	0.6078443823	0.6780287237
13	0.60770765	0.6774520194
14	0.6078889673	0.6769619943
15	0.6083274692	0.6763728105
16	0.6095316172	0.6756612894
17	0.6097005398	0.6751394182
18	0.6101696526	0.6744806502
19	0.6103755534	0.6740674863
20	0.6105534492	0.6736447206
21	0.6105107774	0.6733871979
22	0.6109363647	0.6729047981
23	0.6112708145	0.6725603345
24	0.6111893713	0.6723543832
25	0.6117330223	0.671925233
26	0.6118288699	0.671592453
27	0.6124863926	0.6711236466
28	0.6125921547	0.6709150152
29	0.6129508331	0.6706465882
30	0.6130770561	0.6703934719
31	0.6133440624	0.6701320121
32	0.6133041992	0.6700106569
33	0.6135471205	0.6697423059
34	0.6137205605	0.6695411871
35	0.6137922659	0.6694013022
36	0.6136973081	0.6693269741
37	0.6142495015	0.6690389831
38	0.6144227863	0.668886173
39	0.6145390217	0.6686951401
40	0.6148812946	0.6685025546
41	0.6151504529	0.6682947564
42	0.6152784178	0.6681482
43	0.6152240691	0.668096241
44	0.615191363	0.6680460424
45	0.6154348636	0.6678182009
46	0.6154366012	0.6677789346
47	0.6160811755	0.6673979848
48	0.616542462	0.6671791916
49	0.616898882	0.6669703557
50	0.6171741319	0.6668428933
51	0.617396444	0.6666837476
52	0.6176099869	0.6665216036
53	0.6180274992	0.6663493028
54	0.6180939678	0.6662697573
55	0.6181281565	0.6662087788
56	0.6181237294	0.6661886256
57	0.6181693529	0.6661229847
58	0.6182200701	0.6660670617
59	0.6183269667	0.6659853641
60	0.6185826292	0.6658383239
61	0.6185692471	0.6658161146
62	0.6185645565	0.6657982273
63	0.6189117935	0.6656760173
64	0.6191095761	0.6655205561
65	0.61925954	0.6654243605
66	0.6193722886	0.6653487968
67	0.6194654956	0.6653047489
68	0.6194570309	0.665295237
69	0.6194871859	0.665251781
70	0.6195032991	0.665237582
71	0.6199274925	0.6650552076
72	0.6199198351	0.6650265709
73	0.6200801277	0.6649284029
74	0.6200769957	0.6649155697
75	0.620418114	0.6647074593
76	0.6204845332	0.6646552798
77	0.6206433285	0.6645759552
78	0.6206436891	0.6645647675
79	0.6206408686	0.6645525482
80	0.6206401924	0.664538676
81	0.6208345878	0.6644639016
82	0.6208414252	0.6644505629
83	0.6208399268	0.664449822
84	0.6208393208	0.6644388296
